"","id","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations"
"15","24714_1218.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"16","24716_1359BLF.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"17","24717_1252.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"18","24718_2006.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"19","24719_961.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"20","24720_1254.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"21","24721_1014.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"22","24722_770.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"23","24723_1425.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
"24","24724_558.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"25","24725_2013.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"26","24726_1895.fasta-ragtag.scaffold",1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"27","24727_2095.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"28","24728_1912.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"29","24729_1801.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"30","24730_1204.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"31","24731_2111.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"32","24732_1865.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"33","24733_1925.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"34","24734_987.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"35","24735_968.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"36","24736_1431.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"37","24737_2070.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"38","24738_1432.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"39","24739_431.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"40","24740_990.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"41","24741_207.fasta-ragtag.scaffold",1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"42","24742_2130.fasta-ragtag.scaffold",1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"43","24743_1462.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
"44","24744_1866.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"45","24745_1533.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"46","24746_1414.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"47","24747_1802.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"48","24748_1318.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"49","24749_2112.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"50","24754_1359BLF.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"51","24761_2171.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"52","24762_1038.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"53","24765_2202.fasta-ragtag.scaffold",1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"54","24766_2166.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"55","24767_2163.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"56","24776_2254.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"57","24777_2155.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"58","24778_2255.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"59","24779_2261.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"60","24780_1004.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"61","24781_2265.fasta-ragtag.scaffold",1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"62","24782_2033.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"63","24783_2313.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"64","24787_2313B.fasta-ragtag.scaffold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
